ZdAId,ZdCId
51566,60194
48713,62850
48718,62798
59277,74325
57923,63380
425725,60132
59273,74321
43500,63437
48736,60132
57295,73326
411657,66805
49200,64270
46353,485861
56684,418987
58883,479388
55120,478850
58605,73865
57388,73281
43628,480875
58430,59645
473152,59830
473277,61579
492698,74086
53009,59656
473134,66533
490482,60915
50796,69833
48420,61002
50766,70044
480968,480985
50834,63336
50840,63332
50841,63207
50844,63080
50843,63104
59348,425937
59347,63300
46056,63296
46054,69595
47420,482757
58116,63041
478504,478505
58406,62686
58413,62662
47742,70057
46411,480004
46400,480712
47712,70151
46396,62994
46393,63091
46390,478358
57013,62888
57014,62927
47842,63312
58454,62625
413629,69965
44042,62751
44215,62807
44167,70639
44164,63338
474396,63225
44432,63010
44391,63153
56385,69864
44560,63283
45989,69949
44772,63288
43492,69757
426226,70018
43592,63268
42386,63323
42495,69611
43731,63224
473849,427230
53304,69784
42742,63215
462916,69700
42857,62690
42841,69986
51019,62926
51041,61045
51044,62770
51056,62900
473467,69633
462782,69762
51172,60959
51175,60942
51178,70072
51194,63018
51221,62896
51223,62832
51226,63032
51228,483404
51230,63058
51231,63018
51587,62819
482534,482565
482532,482564
50423,70014
473175,73718
47807,69463
42990,480872
57502,70593
45426,71172
58747,71030
50831,70187
50823,70630
44358,73676
46663,478861
42979,422453
50804,70567
43547,61536
50020,59623
43400,60203
412647,412648
473418,59661
50057,415574
42770,61528
52262,59995
47462,417679
43231,72641
44417,63948
49143,64027
473162,66696
48771,60587
58720,71410
482569,482570
51373,69043
479011,69781
44031,73372
47539,72407
478523,478524
54406,65245
54408,65267
43819,72413
51135,65327
463878,461505
43255,72780
45387,71128
46573,463333
48475,60776
48522,60623
426757,426758
462033,462034
43762,60471
51335,60460
51336,60419
51338,60425
463871,72217
59021,70179
417838,417846
59070,73675
417834,70131
47027,71052
50808,70302
50813,70647
50762,70058
50764,69478
50829,70181
47363,70581
58176,69475
58177,425792
491523,490779
491521,491566
58231,70597
58232,70591
45119,71202
47765,69520
47751,70218
47702,70091
57017,70628
46508,71903
